City,Latitude,Longitude,Timestamp,AQI,PM25,PM10,CO,NO2,SO2,Ozone,Source
Indore - MG Road,22.718,75.847,2025-12-14 07:18:37,3,48.63,57.73,226.65,1.89,8.81,105.77,Live
Indore - Vijay Nagar,22.735,75.88,2025-12-14 07:18:37,3,48.63,57.73,226.65,1.89,8.81,105.77,Live
Indore - AB Road,22.726,75.889,2025-12-14 07:18:37,3,48.63,57.73,226.65,1.89,8.81,105.77,Live
Indore - Rau,22.74,75.83,2025-12-14 07:18:37,3,48.63,57.73,226.65,1.89,8.81,105.77,Live
Indore - Palasia,22.72,75.88,2025-12-14 07:18:37,3,48.63,57.73,226.65,1.89,8.81,105.77,Live
Indore - Rajwada,22.7196,75.855,2025-12-14 07:18:37,3,48.63,57.73,226.65,1.89,8.81,105.77,Live
Indore - Airport Road,22.72,75.8,2025-12-14 07:18:37,3,48.63,57.73,226.65,1.89,8.81,105.77,Live
Indore - Bhawarkua,22.72,75.84,2025-12-14 07:18:37,3,48.63,57.73,226.65,1.89,8.81,105.77,Live
Indore - Annapurna,22.7,75.86,2025-12-14 07:18:37,3,48.63,57.73,226.65,1.89,8.81,105.77,Live
Indore - Sanwer Road Industrial,22.79,75.84,2025-12-14 07:18:37,3,48.63,57.73,226.65,1.89,8.81,105.77,Live
Indore - Ring Road,22.74,75.88,2025-12-14 07:18:37,3,48.63,57.73,226.65,1.89,8.81,105.77,Live
Indore - CAT Road,22.78,75.86,2025-12-14 07:18:37,3,48.63,57.73,226.65,1.89,8.81,105.77,Live
Indore - Mhow Naka,22.69,75.87,2025-12-14 07:18:37,3,48.63,57.73,226.65,1.89,8.81,105.77,Live
Bhopal - MP Nagar,23.238,77.4125,2025-12-14 07:18:37,4,64.08,82.0,233.77,1.0,8.37,112.01,Live
Bhopal - Habibganj,23.26,77.398,2025-12-14 07:18:37,4,62.48,79.81,231.67,1.03,7.86,112.83,Live
Bhopal - Arera Hills,23.251,77.412,2025-12-14 07:18:37,4,64.08,82.0,233.77,1.0,8.37,112.01,Live
Bhopal - Ayodhya Bypass,23.267,77.435,2025-12-14 07:18:37,4,64.08,82.0,233.77,1.0,8.37,112.01,Live
Bhopal - Lalghati,23.285,77.383,2025-12-14 07:18:37,4,62.48,79.81,231.67,1.03,7.86,112.83,Live
Bhopal - Kolar Road,23.2,77.43,2025-12-14 07:18:37,4,64.08,82.0,233.77,1.0,8.37,112.01,Live
Bhopal - Bairagarh,23.29,77.36,2025-12-14 07:18:37,4,62.48,79.81,231.67,1.03,7.86,112.83,Live
Bhopal - Govindpura Industrial,23.26,77.47,2025-12-14 07:18:37,4,64.08,82.0,233.77,1.0,8.37,112.01,Live
Bhopal - Misrod,23.2,77.49,2025-12-14 07:18:37,4,64.08,82.0,233.77,1.0,8.37,112.01,Live
Bhopal - BHEL Area,23.27,77.49,2025-12-14 07:18:37,4,64.08,82.0,233.77,1.0,8.37,112.01,Live
Bhopal - Shahpura,23.21,77.43,2025-12-14 07:18:37,4,64.08,82.0,233.77,1.0,8.37,112.01,Live
Bhopal - Piplani,23.25,77.48,2025-12-14 07:18:37,4,64.08,82.0,233.77,1.0,8.37,112.01,Live
Bhopal - Ashoka Garden,23.27,77.42,2025-12-14 07:18:37,4,64.08,82.0,233.77,1.0,8.37,112.01,Live
Ujjain - Freeganj,23.18,75.78,2025-12-14 07:18:37,4,54.27,65.72,238.23,1.48,5.87,105.74,Live
Ujjain - Nanakheda,23.16,75.79,2025-12-14 07:18:37,4,54.27,65.72,238.23,1.48,5.87,105.74,Live
Ujjain - Mahakal,23.18,75.77,2025-12-14 07:18:37,4,54.27,65.72,238.23,1.48,5.87,105.74,Live
Ujjain - Dewas Gate,23.19,75.79,2025-12-14 07:18:37,4,54.27,65.72,238.23,1.48,5.87,105.74,Live
Ujjain - Vikram Nagar,23.2,75.82,2025-12-14 07:18:37,4,54.7,67.62,228.86,1.2,5.78,111.15,Live
Ujjain - Engineering College Road,23.21,75.82,2025-12-14 07:18:37,4,54.7,67.62,228.86,1.2,5.78,111.15,Live
Ujjain - Agar Road,23.21,75.78,2025-12-14 07:18:37,4,54.55,66.97,231.17,1.17,5.39,108.98,Live
Ujjain - Indore Road,23.18,75.81,2025-12-14 07:18:37,4,52.68,64.32,228.16,1.44,6.82,109.34,Live
Ujjain - Industrial Area,23.22,75.8,2025-12-14 07:18:37,4,54.7,67.62,228.86,1.2,5.78,111.15,Live
Ujjain - Railway Station,23.19,75.79,2025-12-14 07:18:37,4,54.27,65.72,238.23,1.48,5.87,105.74,Live
Ujjain - Jaisinghpura,23.2,75.79,2025-12-14 07:18:37,4,54.55,66.97,231.17,1.17,5.39,108.98,Live
Ujjain - Gopal Mandir,23.18,75.79,2025-12-14 07:18:37,4,54.27,65.72,238.23,1.48,5.87,105.74,Live
Dewas - City Center,22.97,76.05,2025-12-14 07:18:37,3,47.32,57.59,209.76,1.57,9.31,112.56,Live
Dewas - Industrial Area,22.95,76.07,2025-12-14 07:18:37,3,47.32,57.59,209.76,1.57,9.31,112.56,Live
Dewas - Uday Nagar,23.01,76.09,2025-12-14 07:18:37,4,51.09,62.93,218.08,1.4,7.76,112.95,Live
Dewas - Station Road,22.97,76.06,2025-12-14 07:18:37,3,47.32,57.59,209.76,1.57,9.31,112.56,Live
Dewas - A.B. Road,22.96,76.07,2025-12-14 07:18:37,3,47.32,57.59,209.76,1.57,9.31,112.56,Live
Dewas - Rajendra Nagar,22.98,76.05,2025-12-14 07:18:37,3,47.32,57.59,209.76,1.57,9.31,112.56,Live
Dewas - Bavlia,22.95,76.1,2025-12-14 07:18:37,3,47.32,57.59,209.76,1.57,9.31,112.56,Live
Dewas - Bhopal Road,22.99,76.08,2025-12-14 07:18:37,3,47.32,57.59,209.76,1.57,9.31,112.56,Live
Dewas - Meera Nagar,22.96,76.04,2025-12-14 07:18:37,3,47.32,57.59,209.76,1.57,9.31,112.56,Live
Dewas - Kailash Nagar,22.95,76.05,2025-12-14 07:18:37,3,47.32,57.59,209.76,1.57,9.31,112.56,Live
Dewas - Hatpipliya Road,22.93,76.07,2025-12-14 07:18:37,3,47.32,57.59,209.76,1.57,9.31,112.56,Live
Dewas - Kalani Nagar,22.97,76.09,2025-12-14 07:18:37,3,47.32,57.59,209.76,1.57,9.31,112.56,Live
